"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 21 01:40:26 GMT 2025","Wed May 21 01:40:27 GMT 2025","670","","ui.WebFormWithPOMTest","","ui.WebFormWithPOMTest","openWebFormTest","openWebFormTest()",""
"passed","Wed May 21 01:39:43 GMT 2025","Wed May 21 01:39:43 GMT 2025","722","","ui.DropDownMenuTest","","ui.DropDownMenuTest","rightClick","rightClick()",""
"passed","Wed May 21 01:39:30 GMT 2025","Wed May 21 01:39:36 GMT 2025","6709","","ui.DialogBoxesTest","","ui.DialogBoxesTest","proverkaLaunchModal","proverkaLaunchModal()",""
"passed","Wed May 21 01:40:25 GMT 2025","Wed May 21 01:40:26 GMT 2025","749","","ui.WebFormWithPOMTest","","ui.WebFormWithPOMTest","proverkaDefaultCheckbox","proverkaDefaultCheckbox()",""
"passed","Wed May 21 01:40:24 GMT 2025","Wed May 21 01:40:25 GMT 2025","756","","ui.WebFormWithPOMTest","","ui.WebFormWithPOMTest","proverkaDisabledInput","proverkaDisabledInput()",""
"passed","Wed May 21 01:39:14 GMT 2025","Wed May 21 01:39:20 GMT 2025","6468","","ui.DialogBoxesTest","","ui.DialogBoxesTest","proverkaLaunchConfirm","proverkaLaunchConfirm()",""
"passed","Wed May 21 01:39:43 GMT 2025","Wed May 21 01:39:44 GMT 2025","742","","ui.DropDownMenuWithPOMTest","","ui.DropDownMenuWithPOMTest","proverkaDropdownMenu","proverkaDropdownMenu()",""
"passed","Wed May 21 01:39:46 GMT 2025","Wed May 21 01:39:47 GMT 2025","668","","ui.HomePageWithPOMTest","","ui.HomePageWithPOMTest","OpenHomePageTest","OpenHomePageTest()",""
"passed","Wed May 21 01:40:23 GMT 2025","Wed May 21 01:40:24 GMT 2025","719","","ui.WebFormWithPOMTest","","ui.WebFormWithPOMTest","proverkaCheckedCheckbox","proverkaCheckedCheckbox()",""
"passed","Wed May 21 01:39:52 GMT 2025","Wed May 21 01:39:53 GMT 2025","603","","ui.NavigationWithPOMTest","","ui.NavigationWithPOMTest","proverkaStranici","proverkaStranici()",""
"passed","Wed May 21 01:39:36 GMT 2025","Wed May 21 01:39:37 GMT 2025","854","","ui.DialogBoxesWithPOMTest","","ui.DialogBoxesWithPOMTest","openDialogBoxesTest","openDialogBoxesTest()",""
"passed","Wed May 21 01:40:21 GMT 2025","Wed May 21 01:40:23 GMT 2025","1844","","ui.WebFormTest","","ui.WebFormTest","proverkaPassword","proverkaPassword()",""
"passed","Wed May 21 01:40:28 GMT 2025","Wed May 21 01:40:29 GMT 2025","990","","ui.WebFormWithPOMTest","","ui.WebFormWithPOMTest","proverkaDropdownSelect","proverkaDropdownSelect()",""
"passed","Wed May 21 01:39:45 GMT 2025","Wed May 21 01:39:46 GMT 2025","749","","ui.DropDownMenuWithPOMTest","","ui.DropDownMenuWithPOMTest","rightClick","rightClick()",""
"passed","Wed May 21 01:40:09 GMT 2025","Wed May 21 01:40:11 GMT 2025","1665","","ui.WebFormTest","","ui.WebFormTest","proverkaReadonlyInput","proverkaReadonlyInput()",""
"passed","Wed May 21 01:40:29 GMT 2025","Wed May 21 01:40:30 GMT 2025","754","","ui.WebFormWithPOMTest","","ui.WebFormWithPOMTest","proverkaPassword","proverkaPassword()",""
"passed","Wed May 21 01:39:47 GMT 2025","Wed May 21 01:39:52 GMT 2025","5506","","ui.NavigationTest","","ui.NavigationTest","proverkaNavigation","proverkaNavigation()",""
"passed","Wed May 21 01:39:46 GMT 2025","Wed May 21 01:39:46 GMT 2025","498","","ui.HomePageTest","","ui.HomePageTest","OpenHomePage","OpenHomePage()",""
"passed","Wed May 21 01:40:06 GMT 2025","Wed May 21 01:40:09 GMT 2025","3008","","ui.WebFormTest","","ui.WebFormTest","proverkaExampleRange","proverkaExampleRange()",""
"passed","Wed May 21 01:39:59 GMT 2025","Wed May 21 01:40:01 GMT 2025","1755","","ui.WebFormTest","","ui.WebFormTest","proverkaDisabledInput","proverkaDisabledInput()",""
"passed","Wed May 21 01:40:11 GMT 2025","Wed May 21 01:40:13 GMT 2025","1811","","ui.WebFormTest","","ui.WebFormTest","proverkaCheckedRadio","proverkaCheckedRadio()",""
"passed","Wed May 21 01:39:41 GMT 2025","Wed May 21 01:39:42 GMT 2025","842","","ui.DropDownMenuTest","","ui.DropDownMenuTest","proverkaDropdownMenu","proverkaDropdownMenu()",""
